username,date,content,votes
@matamu3797,4 months ago,Setuju...kembalikan Taman Tesso Nilo yg menjadi rumah para satwa yg akan menjaga alam dari bencana..yaa Alloh kembalikan atau ganti semuanya dengan yg jauh lebih baik..jangan Kau timpa kami dengan musibah yg membuat Engkau murka. Jaga dan lindumgi NKRI ini..sadarkan mereka yg telah berbuat dzolim.aamiin 🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻😥😥😥😥,0
@hengky8678,4 months ago,"Tindak tegas perambah TNTN, jangan kasi kendor...jangan sampai terjadi musibah banjir bandang lg",1
@Taufikin-f8m,4 months ago,Pemerintah harus segera turun tangan selamatkan habitat gajah dan Harimau Sumatra....,41
@diahpitaloka7317,4 months ago,Kalau pemerintah tidak bergeming berarti ada main dengan pebisnis kelapa sawit . Madut.😢,2
@killereggmantani9135,4 months ago,😢saya denger2 byk negara yg gak mau beli minyak dari kelapa sawit 😢,0
@retnoariwijayanti4572,3 months ago,"Sedih skali liat negeri spt ini 😢 klo g da lg hewan ato tumbuhan gmn nasib manusia nantinya,makanya bnyk polusi udara,populasi manusia jd membludak,g seimbang lg 😢",0
@DodyDodieFahriandry,4 months ago,"Ini sama seperti pemukiman di pinggir kali di jakarta. Jelas di larang mendirikan bangunan sepanjang bantaran kali. Namun karena orang2 bisa membeli tanah dari para oknum, maka menjamurlah pemukiman di pinggir kali.

Ini hanya butuh ketegasan pempus untuk menegakkan kembali peraturan. Jangan lupa berantas pula para mafia tanah dan para oknum pejabat dan aparat yg 'bermain'.",0
@legiman8801,4 months ago,Pemeritah hatus tegas hutan lindung ga boleh di ganggu,2
@muhamadmaisur520,4 months ago,Miris sekali 😢,0
@UJNGcity1996,4 months ago,Kami warga masyarakat Sumatra asli saya sangat mendukung...siapa yang mendukung pembabatan hutan Sumatra kami dan siapa yang menebang pohon hutan kami tangkap...kami masyarakat Sumatera asli nggak sekeji ini untuk merusak hutan asli...ini semuanya berawal dari pendatang kalo kami Sumatra menggunakan sumberdaya kami sendiri masih cukup... Tapi kerusakan dari pendatangyang sudah mulai menjajah Sumatra kami sampai ke perdalam hutan kami...,1
@AanPijiturut,4 months ago,Emang mahluk yg paling serakah adlh manusia..,5
@In-xn4pc,4 months ago,Ingat rumah kita rumah mereka,0
@AchyarAlhadri,4 months ago,Maju PKH,0
@rusalirusali944,4 months ago,"Meskipun terlambat tak apa2,asal ada penindakan.sebelum hancur total....",1
@haritijono9129,4 months ago,"Harus secepatnya berantas koruptor mafia dan oligarki, merekalah yg membuat kerusakan yg masig di seluruh sendi di Indonesia",0
@LobokGanas-ym9qc,4 months ago,Jangan kasih kendor,1
@Muka_gue_muka_JAWA,4 months ago,"Gusur semua sawitnya trus tanam lagi kayu alam, itulah solusi satu2nya",2
@IvanSunardi-x2j,4 months ago,"Emang parah banget perusak hutan,ga punya pikiran,itu kalau hutan musnah kitasemua musnah juga,setiap hujann deras makan bencana makan korban jiwa,lama2 musnah  🤦🤦🤦",1
@dudurisana9643,4 months ago,Nah oknum2 penjarah hutan/ penebang pohon ini yang harus ditangkap.....,0
@NUNANANA0813,4 months ago,Sedih gajahnya mati,0
@erniaty2729,4 months ago,Nanti.di tabrak banjir lagi nangis² 😂😂😂😂,2
@agusistighfar,4 months ago,ini karena pemerintah TIDAK TEGAS. apa hak masyarakat itu tinggal di kawasan hutan.,0
@miamrtiSg0193,4 months ago,Dan terutama pemerintahan juga,0
@SangJuara77,4 months ago,Ini kan sudah lama di suarakan Almarhum Gombloh Tahun 1982 dengan diciptakan Lagu Lestari Alamku Lestari Desaku.  Elit Politik saja yang Serakah tidak memperdulikan akibat dari Penggundulan Hutan. Yang dipikirkannya hanya Uang 💸💰.,1
@sasukeuc2428,4 months ago,"lihatlah serakahnya manusia, kita selalu menyalahkan pemerintah. tapi kita lupa kalau masyarakat adalah cerminan dari pemerintah itu sendiri😂😂😂",1
@RealmeC15-m6x,4 months ago,Harusnya yg memang itu sudah di putuskan menjadi fasilitas umum nasional itu di jaga supaya jgn jadi makanan empuk bagi para mafia dan penguasa.,0
@EddySiahaan-u6q,4 months ago,"Satgas PKH harus bertindak tegas, org2 dan perusahaan disana membuka kebun sawit ilegal jadi jangan ragu segel kebun sawit dan lahan perusahaan ilegal, maju terus Satgas PKH , Pantang mundur  !!!",1
@Boa1236-e5e,4 months ago,wilayah yang udah dijadiin lahan sawit itu gimana? ikut disegel and digusur gak tuh 80% lohh,0
@rachmadamek5033,4 months ago,Gas aja...nanti kalau udah bencana teriak2,0
@dadanramdani7536,4 months ago,RI 1 kn juga ada tuh 800rb h,0
@Byannathha,3 months ago,"mitos jaman dulu, ""jangan nebang pohon gede, itu ada penunggunya"" jenius. cara biar gak menebang pohon sembarangan, yang menyebabkan hutan gundul, terus berubah jadi kebun sawit.",0
@nurrachmat7566,4 months ago,😂itu akibat tidak adanya koordinasi antar instansi dan pembiaran terhadap keadaan yang terjadi,0
@rinijuliana2781,4 months ago,Jadi aparat pemerintah kotor kena sogok,0
@Ramadhani-jl4fd,4 months ago,Org sprti ini tidak cocok jadi repoter bilang hurup R tidak tembus,0
@yuli_novita_sari1201,4 months ago,😢😢😢😢,0
@golanchannel148,4 months ago,"Prabowo sendiri sudah mengatakan sawit tuh karunia,dri sini sudah pahamlah masyarakat mengapa bencana disumatra td ditetapkn Bencana Nasional krn dia takut Dunia Internasional mengetahui kebusukannya dan keluarganya,perkebunan terluas diIndonesia masih dipegang keluarga Prabowo",1
@marwahspk7177,4 months ago,"Rata-rata gajah diantara itu adalah dari dirawat oleh manusia , bisa dibilang bukan gajah liar lagi.. Melaikan gajah dijaga manusia.",0
@wiraBacktyAzharyAzhar,4 months ago,"Masyarakat nya NNTI alam menghabisi nya ,Masyarakat yg serakah tanpa peduli dgn Eko sistem",0
@FaresKurkue,4 months ago,Ya jahat tu siap y manusia AP gjh y klu dpikirrrr,0
@novitasujanto,4 months ago,"Miris sekali! Predator paling mematikan bukan dari hewanya tapi malah dari manusianya, bisa buat hutan jadi kebon sawit!",0
@atiikaanastasia5517,4 months ago,Kasihan Gajah gak punya rumah karena kerakusan masyarakat 😢,0
@firdaus20-y8e,4 months ago (edited),"Lestarikan alam Indonesia... Kelestarian alam adalah warisan wajib untuk anak cucu kita...
Jgn kau habiskan hutan Indonesia demi memuaskan nafsu serakahmu saat ini wahai para orang tua...
Berapa tahun siy kalian mau hidup di dunia?
Usaha bisa ditempat lain, ngga harus menghabiskan hutan...
Tapi pengrusakan alam terus kalian lakukan..
Tidak lama lagi juga kalian bakal mati pindah alam...
Kerusakan alam yg kalian lakukan merusak bumi dan akan menyengsarakan anak cucu di generasi berikutnya...
Dosa jariyah yg kalian tanam atas pengrusakan alam yg kalian buat...",0
@heruwibowo5823,3 months ago,"Kini hutan di riau hanya tinggal cerita.... Sampai Januari 2026 seperti tidak ada aksi dari satgas PKH.... Tidak ada tindakan tegas yg terjadi dilapangan.... 
Masyarakat masih menduduki kawasan disana...",0
@AtikaSandra-u5y,4 months ago,TMTN harus dipertahankan. Jangan mengalah pada manusia-manusia serakah seperti mereka.,0
@MelatiMelati-l2q,4 months ago (edited),Tak ada toleransi untuk area terlarang hutang lindung nasional.Lokasi lain masih banyak di sepanjang garis 10 derajat lintang selatan atau 10 derajat lintang utara garis katulistiwa  atau radius 1.100 km ke utara atau ke selatan.Jangan bertanam di wilayah perbukitan karena beresiko menimbulkan banjir bandang.Perbukitan justru harus di lestarikan sebagai area tangkapan hujan untuk persediaan air di musim kering.,1
@Noviarahmadani67,4 months ago,Butuh media internasional membuka bobrok nya negara ini,0
@Alfatih293,4 months ago,Kekuasaan tito karnavian dan listyo sigit,0
@sirunamri4401,4 months ago,Masyarakat yang ngeyel pengen buka lahan di taman Nasional teso nilo tangkap aja biar kapok....,0
@exportkinarracing,4 months ago,Proyek pejabat tamak  suaka hancur,1
@bangmanurung2680,4 months ago,Apa susahnya ngusir org2 yg merusak hutan,0
@ronironi8989,4 months ago,"Hewan punya hak hidup.klo hidupnya di rusak,jangan di salahkan.",0
@DewipratiwiHandayani,4 months ago,akibat pejabat rakus rakus,0
@yulirasyah4235,4 months ago,Tp lantaran sudah luas hutan kebuka jdi masarakat dikambing hitam kan.,3
@FardiansyahFardian-y6d,4 months ago,"Negara kita negara hukum
Jika ada pelanggaran hukum 
Maka tindak secara tegas. 

Lihat di korea utara , 
Mereka tegas dalam tindakan keamanan negara
Koruptor hukum mati
Rakyat memberontak , tembak di tempat",0
@charlesscharless3762,4 months ago,"Selalu ceritanya Mafia Tanah...!!! 
Kenyataannya..sampai saat ini Mafia Tanah masih terus beroperasi. 
Ketika terjadi konflik soal pertanahan yg jadi korban selalu masyarakat/rakyat..sementara Mafia Tanah tak pernah tersentuh hukum...!!! 
Jadi wajar kalau masyarakat/rakyat berani melawan pemerintah/aparatur hukum..karena hukum tidak pernah berpihak pada masyarakat/rakyat...!!! 🇮🇩🇮🇩🇮🇩",0
@romina6907,4 months ago,kalau sudah mendarah daging ya gitulah susah di terima  adu domba  sudah tau dari jaman dulu teso hutan lindung,0
@shinchanmania6688,4 months ago,Bkn salah masyarakat dong😂 salah pemerintahnya dong memberi ijin ke pt.,0
@esihtirja2502,4 months ago,Begitulah manusia2 rakus dan bejat. Mereka mementingkan perutnya dan keluarganya sendiri tanpa memikirkan lingkungan alam sekitarnya. Semoga banyak orang2 mulai segera sadar betapa pentingnya alam.,0
@kuatiman1369,4 months ago,Pemerintah coba kerja yg benar jngn kesing doang tpi kalah sama mafia dan oligarki,0
@yulirasyah4235,4 months ago,"Pendatang dari luar pun banyak yg buka lahan di TNTN ,gk tanggung2 mencapai 200 hektar perkepala.klo asli masarakat bukit paling banyak 2 hektar itu pun klo ada..",11
@lavonrassta,4 months ago (edited),"Harus di Lawan . Merekalah pengrusak alam truss pura"" perduli dgn alam.",0
@Asnidar-xk1px,4 months ago,Makan sawit sampai rakyat jadi korban,0
@UliTio,4 months ago,"Bukan di kambing hitam kan pak , tetapi para pengusaha kaya raya yg licik memakai rakyat untuk melawan pemerintah supaya hutan yg sudah di jadikan kebun sawit bisa mereka kuasai , jadi secara tidak langsung pengusaha sawitnya aman , masyarakat dan pemerintah saling baku hantam , paham kan sampai disini ?",0
@fajarialfan8814,4 months ago,"Yang merusak hutan Sumatera Kalimantan itu mafia tanah dari Malaysia dan Singapura mereka punya modal besar kong kalikong Dengan pemerintah lokal' dan warga lokal mereka menggunakan KTP warga lokal buka kebun sawit ilegal hingga jutaan hektar baru baru ini yang di sita Prabowo, rakyat cuma di jadikan tameng",5
@palmtree_,4 months ago,"​ @fajarialfan8814 
Gausah terus2an nyalahin negara tetangga. Ga mungkin kegiatan bisnis perusahaan asing ga diketahui dan disetujui pejabat. Tugas pejabat jadi pagar. Tugas pengusaha cari duit dan bayar pajak.",1
@RianNew-zs5df,4 months ago,Yg merusak alam itu lebi baik penjara aja.,0
@aansania9236,4 months ago,"gak masalah pendatang nya bg, tapi masa tesso nilo dibangun sawit",0
@m.hadiyatno9345,4 months ago,"Intinya warga di situ gak perduli satwa
Mereka hanya mentingin kalau jadi kebun sawit ku lumayan duitnya",0
@HendriAgustian-ki1wb,4 months ago,Pengusaha China Warga Malaysia dan Singapura Bikin Perkebunan Sawit di Sumatera Atas Nama Rakyat ..✍️,0
@PriYadi-g4r,4 months ago,Yaaaang smuaaaa dlu htaaaan....dtang oknum n oknum adat mmmmm ambyarrr jual n bli lhan....mgasss pak satgas pkh biarrrrr adhillll........,0
@karra13,4 months ago,Sekarang kena banjir,0
@yulirasyah4235,4 months ago,Sebetulnya bukan salah masarakat tp yg salah pemerintah hukum..ada udang dibalik sendok.di TNTN kantor kehutanan aktip disitu tp lantaran sama2 cari makan ya hutan terus lanjut ditumbang.,0
@haritijono9129,4 months ago,Kenapa pemerintah inggak bisa mencegah perusahaan untuk sawit. Lindungi satwa2 tsb,1
@Sapulidi87,4 months ago,"Tinggal nunggu berita banjir nya aja nih, biar di RATAKAN OLEH ALAM",0
@avicenaelfirdausy9725,1 month ago,Itu gajah Afrika kakakku .....😂😂😂,0
@Sankichup,4 months ago,Kasi gas beracun aja,0
@gunturputra809,4 months ago,semoga bencana menimpa kebun sawit tersebut digulung air bah habis lalu kembali tumbuh oleh populasi alami dan kembali ke ekosistem alami,1
@marikitabelajar11,3 months ago,🐅 & 🐘 : Ini rumah kita kan? Kok manusia bikin rumah di sini ya?,0
@yulirasyah4235,4 months ago,Kebanyakan aparat hukum bermain di tesso nilo..,0
@antonsaptowibowo3993,4 months ago,perambah hutan yang bodih mau di tungabgi perusahaan...ntar lapor pemerintah...tamak tapi naif,0
@Warwar-z9w,4 months ago,"Hutan hutan di babat habis hingga flora fauna jadi terancam,,,bubarkan Kemenhut ,,hutan d Jawa jadi gundul..",0
@AfriYanto-x4q,4 months ago,gak Belajar dari Musibah Banjir Bandangg,0
@kimjaena1401,4 months ago,"Gilakk ya.. hutan lindung taman nasional buat hewan pun kelen gerus.. ngeri kali Government Indonesia ini.. tinggal berdampingan bisa aja, tapi tolonglah dijaga keasriannya. Jgn kelen ubah pula jdi lahan sawit.. jgn duit aja otak kelen, bukan kelen aja yg tinggal di muka bumi ini.. gerem kali aku lah..",3
@DanarAji-o9v,4 months ago,"gara"" luhut sama bahlil kh?",0
@uyanxxx9824,4 months ago,Tangkap masyarakat yg mbangkang mereka sudah di tunggangi mafia,0
@sirunamri4401,4 months ago,Sebenarnya kalau mau bagus kirim penjaga kayak TNI biar taman Nasional bisa di jaga ketat.... terus kasih penyuluhan ke masyarakat biar gak diganggu taman Nasional untuk gajah dan harimau.biar tidak punah,0
@fajarialfan8814,4 months ago,"Yang mendalangi itu mafia tanah dari Malaysia dan Singapura 
Mereka lah yang merusak hutan Sumatera dan Kalimantan 
Mereka menggunakan KTP orang lokal bekerja sama dengan pemerintah daerah, kemarin yang di sita Prabowo itu kebanyakan milik orang Malaysia mereka membabat hutan di Indonesia jual kayu dan di buat sawit ilegal tanpa bayar pajak ini merugikan negara",3
@mayangkusuma-m3l,4 months ago,"Aneh bgt,,,dr awal penetapan tesso nilo sbg taman nasional itu harusnya tidak ada toleransi lagi. Koq malah pemerintahnya yg kalah. Warga yg disana juga sok banget, taati aturan, dr awal status taman nasional jgn playing victim seolah jadi korban,,,satwa dan alam yang sesungguhnya jadi korban disini. Balikkan status tesso nilo, singkirkan manusia serakah yang gak tau malu. Hutan rusak bukan hewan yg salah, bukan tuhan, tp MANUSIA nya",2
@khoironanwar1434,4 months ago,Bukan disitu wam banjirnya,0
@husaenamn1606,4 months ago,Tanya Pemda nya - desentralisasi,0
@EddySiahaan-u6q,4 months ago,Amin,0
@MorganAritonang,4 months ago,Amin,0
@anikk7101,4 months ago,pastilah itu,0
@delfiardian5677,4 months ago,"Iyaaa kebun dibuka di kawasan hutan lindung dan taman nasional, siapa yg menjual hrs ditindak tegas",0
@dimsky5355,4 months ago (edited),"Cukong medan yang biasanya bergerak keluar dr sumut untuk cari kebun baru. Liat lah aceh, habis semua hutannya jadi kebun sawit dari perusahaan di medan. Liat kantor pusat kebun2 sawit itu dimana, MEDAN.",0
@kimjaena1401,4 months ago (edited),"​​ @dimsky5355 yakin abg di Medan? itu baru keluar beritanya, kantor pusatnya di Jakarta. Yg mana yg betul, bang?",0
@mohsirojudin1986,4 months ago,Giliran kena banjir dan longsor akhirnya bingung,1
@ShamitaKhan-t9j,4 months ago,"Pantes udah gak ada video gajah domang, Ria, di akun Tesonilo  nyata ada konflik. Stop pengerusakan hutan please kasih hukum yg berat buat yg ngelanggar.",1
@CAH723,4 months ago,Tesonilo sudah hancur! Rusak ekosistemnya...,0
@SitiAisyah-vl5ft,4 months ago,"Inilah bentuk kebobrokn negara kita,perambahan tntn sudah lebih dari 25 tahun, kenapa baru sekarang baru ditertibkan?  Semua krna kebobrokn pemerintah.",0
@ShepryJhesua,4 months ago (edited),"Banyak mafia nga lama hilang kalian dari peta Indonesia, coba di stop penebangan hutan, tolong bersatu masyarakat Sumatra biar nga ada perusahaan yang masuk merusak alam kalian 😢😢😢",0
@hermance1838,4 months ago,Pasti ulah Bahlil dan kroni nya.,0
@akhmadfazri3225,4 months ago,"Terlihat sekali Ketol*lan para pejabat kita.
Saat negara dipimpin orang2 yg tidak kompeten dan hanya cari cuan ya gini lah hasilnya.

Semoga pak Prabowo bs memperbaiki semuanya.
Sulit memang nyapu kotoran bekas rezim lama.
Tapi jika mau dan serius ingin memperbaiki in syaa Allah pasti bisa.
Itu pun kalo pemerintah sekarang niat dan serius 😅

Selama sampah2 korup masih numpuk dan masih berstatus pejabat apakah akan ada solusi untuk memperbaiki semuanya? Tanyakan saja pada rumput yang bergoyang.",0
@duliduli7909,4 months ago,Yang ngeyel tangkap penjarakan selesai negara kita negara hukum bukan hukum rimba bos,0
@ariefem4755,4 months ago,Yang salah ? Ya yg punya kuasa mengolala negara ini.,0
@raflin.a2408,4 months ago,"Hewan dilindungi di pelihara sama masyarakat, masyarakat nya di penjara, tapi hutan di gunduli itu gimana GK ada tindakan nya, itu rumah hewan tersebut loh, emang bener hukum di Konoha itu tumpul ke atas lancip ke bawah.",0
@AaronJordan-il4jj,4 months ago,Hutan di sulap jadi perkebunan ekosistem semakin rusak karna ulah manusia,0
@ILHAMASHARI-m9h,4 months ago,Parahhh,0
@hanamichi9044,4 months ago,"Taman nasional dibabat habiss...

Kok pada ngga tau??

Pada tau sbnernya, tpi bisnis keluarga jdi diem aial",0
@rinijuliana2781,4 months ago,Keserakahan manusia,0
@YasirALYauma,4 months ago,Banjir dan longsor adalah akibat kerusakan lingkungan. Lihatlah kejadian aceh dan Sumatera Barat yang hancur dan merenggut ribuan korban.,0
@poppyyuniarti2019,4 months ago,!,0
@AgusSalim-xn1ul,4 months ago,Kenapa ijin sebegitu mudah dikeluarkan tanpa dilihat kondisi lapangan ? Adakh tangan tangan kuat berperan ?,0
@lambekarepmu,4 months ago,"INILAH HASIL KARYA ZULKIFLI HASAN 
SIMENTERI PALING PENCITRAAN 🤣",0
@rinijuliana2781,4 months ago,"Keserakahan manusia.orang yang berhati kotor memanipulasi data.masarakat
Kena tipu dan putra tidak tahu.",0
@fitritamsirf3232,4 months ago,"Rakyat di paksa turun tangan membela kepentingan sendiri, penguasa hanya ada saat kampanye, 

Ngeri negeri ini",0
@rudyhartono8941,4 months ago,HANCUR...HANCUR...BILA PEMERINTAH TULI...AKAN HANCUR ALAM NEGARA INI,0
@Hobie_noma,4 months ago,Sy jg suka nonton bocil domang yg suka usil liat mtr bapak siapa itu..,0
@RianNew-zs5df,4 months ago,Tangkap semua pelaku2 yg keruk merusak  hasil bumi kawasan habitat satwa,0
@planters77,4 months ago,Sawit di taman nasional tidak ada ijin bos alias ilegal,0
@Asnidar-xk1px,4 months ago,Nanam nga pernah nebangi nya enak yg punya nya siapa jgn nunggu parah bru ribut,0
@miamrtiSg0193,4 months ago,Kenapa banjir ya karena itu tahun 2004 2012 hanya mementingkan kepentingan ke egoisan uang knp pemerintahan kan udah ingetin dari dulu dan 5 bulan lalu. Sekarang banjir kan Sumatra. Itu akibat ulah manusia dan ngapain harus kasihani kena bencana banjir orang orang itu ngerti kan sekarang udah kena banjir. Emang bener kasihani lingkungan hutan hewan. Kalau masyarakat Rakyat manusia Kya gitu ha gak ngerti lagi,0
@heninuraninuny1885,4 months ago,Susah manusia manusia serakah. Tempat hewan dan pohon tumbuh .jd rusak g salah klu hewan sering memangsa manusia di perkebunaan. Klu merusak alam gw sumpahin di makan hewan buas,0
@AsimaGuruBahasa,4 months ago,"Jeleknya kebun sawit, iindah nggak, gersang iya kok dipelihara? Hanya karna rupiah.",0
@Vis-count,4 months ago,"Kayaknya banyak orang yang salah paham ama video di atas. Itu pemerintah menyegel hutannya karna mau menjaga ekosistem satwa liar di dalamnya. Itu masyarakat nya pada marah bukan karna mau lindungin gajah atau harimaunya, tapi karna mata pencaharian mereka terganggu. 
Intinya pemerintah mau ngilangin sawitnya, tapi rakyat disana yang punya lahan sawitnya. Jadi mereka marah karna sawitnya mau ditebang pemerintah.",0
@matamu3797,4 months ago,"Ada sebab ada akibat. Itu ya tolong org2 yg tlah merusak alam, liat itu dampak akibat dari yg kalian sudah lakukan. Apakah kalian belum sadar juga?? Apakah kalian tdk kasian dengan hewan2 yg sudah ratusan tahun menjadi tempat tinggal mereka. Hewan2 jg sama seperti manusia makhluk ciptaan-Nya yg berhak utk hidup dan bertahan hidup. Kami sekarang tahu kebiadapan kalian dengan di ingatkannya melalui bencana yg Alloh sendiri tdk ridho klo kalian melalukan kedholiman2 ini. Makanya petinggi2 itu klo melakukan keputusan salah kami warga menolaknya klian jangan bersikeras utk ttap kekeh melakukan.jangan dumeh kalian penguasa. Klo penguasa se enaknya tdk sesuai aturan dampaknya ke kita kalian mengerti kagak? Sangat di sayangkan sekali yaa Alloh..ternyata begini ya yg kalian lakukan, sungguh kalian tidak berpikir.",0
@vangelamikaze,4 months ago,"manusia sudah terlalu rakus dan jahat…lihat saja udh makin banyak bencana alam berderet terjadi…jangan kira alam akan berdiam diri ketika dirusak, dalam science ada yg namanya keseimbangan alam/ekosistem, tinggal tunggu waktu aja alam mereset semuanya untuk kembali ke titik awal…kasian banget ya gajahnya, salah satu hewan yang paling sensitif dan baik, mereka selalu berkelana tapi suatu saat akan pulang ke rumahnya, ketika migrasi dan kembali namun rumahnya udh jadi kebun sawit, lalu gajah tsb banyak terbunuh karena dianggap merusak sawit dan rumah nya, padahal sebetulnya mereka yang sudah merampas rumah gajah itu, ada juga pemburu yang hanya untuk mendapatkan gading nya membunuh gajah2 nya…",0
@nurizalabidin8868,4 months ago,"Yg disalahkan GAJAH.. padahal Gajah hanya korban dari KESERAKAHAN manusia, sebelum ada Manusia disitu Gajah sudah duluan tinggal disitu.. jadi Manusia disitu bisa dibilang hanyalah PENDATANG dihutan itu, jadi jangan merasa Tuan Tanah",0
@donygranat3519,4 months ago (edited),"Kebun sawit ini terlalu meraja lela...yg harus di radikal..ini biasanya kerjaan asing n asong yg tampa aturan mainya,,semua tetap slah pemerintahan..yg bobrok",0
@BobVahn,4 months ago,"""sawit adalah tanaman juga'' itu pernyataan yang sangat berbahaya kalo diucapkan oleh pemimpin. Gak mikir",0
@asarianwar5970,4 months ago,Jaman Kerajaan Demak Banteng tukang ngamuk bisa diredakan/dikalahkan sama Jokotingkir kalau sekarang coba cari keturunan Ki Agung Selo.  😀😂🤣,0
@lawrenmarpaung5679,4 months ago,"Selamatkan hutan lindung , 
kl tdk di selamatkan masyarakat jg merasakan imbasnya,  hewan2 akan masuk   kepemukiman. Nyawa manusia akan terancam.
Dan jika penebangan hutan dilakukan maka akan  terjadi banjir sperti yg terjadi saat ini di berbagai daerah.
Kita manusia jgn terlalu serakah.",0
@GindolubisLubis,4 months ago,"Kenapa Hutan habis di tumbang ? Rakyat Butuh Makan dll , apa tanggung jawap para Pejabat di NKRI ? Dana reboisasi dari Luar Negeri di terima .",0
@SuaraHujan-ng2yj,4 months ago,This is not funny,0
@m.hadiyatno9345,4 months ago (edited),"Ini yg nonton kayak nya gak ngerti
Itu warga berebut lahan 
Masing2 pengen punya kebun sawit sendiri. 
Bukan tentang satwa lagi
Jadi HGU yg punya perusahaan
Meratakan pohon
Setelah rata warga ngaku ngakuin. 
Alhasil perusahaan tanam akasia
Warga tanam sawit
Jadi bukan tentang satwa disana tapi tentang lahan tentang duit",0
